Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A000075,»ï¾çÈ¦µù½º¿ì,20210616,1031,75600.0,75600.0,75600.0,75600.0,0.0,3.0,230000.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210616,1001,75400.0,75400.0,75400.0,75400.0,0.0,41.0,3090000.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210616,931,75300.0,75300.0,75300.0,75300.0,0.0,29.0,2180000.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210616,901,75300.0,75300.0,75300.0,75300.0,0.0,110.0,8280000.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1530,75400.0,75400.0,75400.0,75400.0,0.0,21.0,1580000.0,0.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1501,75100.0,75100.0,75100.0,75100.0,0.0,22.0,1650000.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1431,75200.0,75200.0,75200.0,75200.0,0.0,44.0,3310000.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1401,75200.0,75200.0,75200.0,75200.0,0.0,90.0,6770000.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1331,75400.0,75400.0,75400.0,75400.0,0.0,9.0,680000.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1301,75500.0,75500.0,75500.0,75500.0,0.0,9.0,680000.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1231,75400.0,75400.0,75400.0,75400.0,0.0,100.0,7540000.0,0.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1201,75500.0,75500.0,75500.0,75500.0,0.0,107.0,8070000.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1131,75500.0,75500.0,75500.0,75500.0,0.0,3.0,230000.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1101,75600.0,75600.0,75600.0,75600.0,0.0,107.0,8090000.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1031,76000.0,76000.0,76000.0,76000.0,0.0,23.0,1750000.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,1001,76000.0,76000.0,76000.0,76000.0,0.0,80.0,6080000.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,931,76000.0,76000.0,76000.0,76000.0,0.0,3.0,230000.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210615,901,76100.0,76100.0,76100.0,76100.0,0.0,3.0,220000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1530,75300.0,75300.0,75300.0,75300.0,0.0,16.0,1200000.0,0.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1501,74300.0,74300.0,74300.0,74300.0,0.0,13.0,970000.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1431,74300.0,74300.0,74300.0,74300.0,0.0,1.0,70000.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1401,74000.0,74000.0,74000.0,74000.0,0.0,30.0,2220000.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1331,74000.0,74000.0,74000.0,74000.0,0.0,50.0,3700000.0,0.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1301,73700.0,73700.0,73700.0,73700.0,0.0,122.0,8990000.0,0.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1231,73700.0,73700.0,73700.0,73700.0,0.0,14.0,1040000.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1201,73700.0,73700.0,73700.0,73700.0,0.0,90.0,6630000.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1131,73700.0,73700.0,73700.0,73700.0,0.0,104.0,7660000.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1101,73700.0,73700.0,73700.0,73700.0,0.0,106.0,7820000.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1031,73700.0,73700.0,73700.0,73700.0,0.0,200.0,14740000.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,1001,74000.0,74000.0,74000.0,74000.0,0.0,298.0,22050000.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,931,74400.0,74400.0,74400.0,74400.0,0.0,6.0,440000.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210618,901,75300.0,75300.0,75300.0,75300.0,0.0,2.0,150000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1530,74300.0,74300.0,74300.0,74300.0,0.0,60.0,4460000.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1501,74600.0,74600.0,74600.0,74600.0,0.0,66.0,4930000.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1431,74700.0,74700.0,74700.0,74700.0,0.0,9.0,670000.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1401,74700.0,74700.0,74700.0,74700.0,0.0,1.0,70000.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1331,74700.0,74700.0,74700.0,74700.0,0.0,3.0,230000.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1301,74600.0,74600.0,74600.0,74600.0,0.0,80.0,5960000.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210617,1231,74700.0,74700.0,74700.0,74700.0,0.0,36.0,2690000.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
